World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,1,1,1,1,1,100.0
2,Massachusetts Institute of Technology,USA,2,4,12,2,7,96.7
3,Stanford University,USA,3,11,4,3,2,95.1
6,Princeton University,USA,4,5,15,6,79,92.6
7,University of Chicago,USA,5,8,16,21,22,92.0
8,Columbia University,USA,6,12,14,10,14,91.5
9,University of Pennsylvania,USA,7,14,8,41,11,91.1
10,California Institute of Technology,USA,8,2,104,7,80,90.7
11,Yale University,USA,9,6,36,12,20,90.4
12,"University of California, Berkeley",USA,10,9,59,5,16,90.1
14,Cornell University,USA,11,16,28,18,24,89.5
15,"University of Michigan, Ann Arbor",USA,12,29,40,59,6,89.2
16,Johns Hopkins University,USA,13,24,192,23,8,89.0
17,Northwestern University,USA,14,138,17,47,31,88.8
18,"University of California, Los Angeles",USA,15,42,63,17,15,88.6
20,Duke University,USA,16,50,48,19,25,88.2
22,University of Illinois at Urbana–Champaign,USA,17,18,139,11,73,87.8
23,New York University,USA,18,36,43,43,46,87.6
25,University of Washington,USA,19,71,231,25,9,87.3
27,University of Wisconsin–Madison,USA,20,34,100,30,35,87.0
33,University of Texas at Austin,USA,21,86,64,16,58,86.3
34,"University of California, San Diego",USA,22,118,1620,13,19,86.1
35,"University of California, San Francisco",USA,23,-,1498,14,26,86.0
39,University of North Carolina at Chapel Hill,USA,24,85,96,78,38,85.6
41,Dartmouth College,USA,25,54,18,102,286,85.4
46,Washington University in St. Louis,USA,26,133,166,36,47,85.0
48,University of Minnesota - Twin Cities,USA,27,75,308,120,30,84.8
50,University of Southern California,USA,28,314,130,28,76,84.6
52,Vanderbilt University,USA,29,384,86,65,70,84.5
53,Pennsylvania State University,USA,30,294,161,57,53,84.4
54,"University of California, Davis",USA,31,105,546,62,51,84.3
55,Rockefeller University,USA,32,15,-,8,436,84.2
57,Rutgers University,USA,33,217,138,27,91,84.1
59,Ohio State University,USA,34,122,269,129,40,84.0
62,"Texas A&M University, College Station",USA,35,-,124,70,65,83.8
65,Purdue University,USA,36,91,91,72,110,83.6
66,Brown University,USA,37,76,56,116,134,83.5
68,Georgia Institute of Technology,USA,38,307,174,26,115,83.4
69,University of Colorado Boulder,USA,39,154,175,48,93,83.3
71,University of Virginia,USA,40,324,35,176,131,83.2
72,University of Texas Southwestern Medical Center,USA,41,39,-,39,165,83.1
75,University of Pittsburgh,USA,42,234,205,262,34,83.0
76,"University of Maryland, College Park",USA,43,115,444,143,67,82.9
81,"University of California, Irvine",USA,44,385,1255,31,108,82.6
84,University of Florida,USA,45,322,449,135,61,82.5
86,Carnegie Mellon University,USA,46,57,121,38,220,82.4
90,"University of California, Santa Barbara",USA,47,213,489,20,149,82.2
91,University of Rochester,USA,48,64,74,130,172,82.2
93,University of Arizona,USA,49,490,227,73,107,82.1
99,Boston University,USA,50,420,118,218,77,81.8
111,University of Texas MD Anderson Cancer Center,USA,51,-,-,90,97,81.3
115,Indiana University Bloomington,USA,52,258,92,177,118,81.1
116,University of Utah,USA,53,247,198,132,114,81.1
129,Emory University,USA,54,467,245,-,72,80.6
136,Case Western Reserve University,USA,55,68,276,184,163,80.4
138,Baylor College of Medicine,USA,56,81,-,209,127,80.3
142,University of Iowa,USA,57,102,278,186,143,80.2
145,Tufts University,USA,58,80,67,167,257,80.1
148,University of Colorado Anschutz Medical Campus,USA,59,-,-,95,153,80.0
150,Michigan State University,USA,60,186,204,-,109,80.0
